Marca temporal,Grado de estudios,Sexo,Edad (Años),Peso (kg),Altura (m),¿Tienes alguna enfermedad crónica o cardiovascular?,Días por semana de actividad física,Tiempo de ejercicio por día ,¿Fumas?,Número de veces promedio que te lavas las manos al día,¿Has tenido algún familiar con Covid-19 recientemente?,¿Usas cubrebocas en los lugares públicos?
2021/03/03 7:36:48 p. m. GMT-6,6° Semestre,Femenino,17 - 18,45,1.6,No,1-3,30 min - 1h,No,7 o más,No,Sí
2021/03/03 7:37:31 p. m. GMT-6,6° Semestre,Femenino,17 - 18,50,1.55,No,1-3,1h - 1h30,No,Entre 3 y 5,No,Sí
2021/03/03 7:43:20 p. m. GMT-6,4° Semestre,Femenino,17 - 18,50,1.56,No,1-3,Menos de 30 min,No,Entre 3 y 5,No,Sí
2021/03/03 7:45:12 p. m. GMT-6,6° Semestre,Femenino,17 - 18,57,1.56,No,1-3,30 min - 1h,No,7 o más,Sí,Sí
2021/03/03 7:52:00 p. m. GMT-6,2° Semestre,Femenino,15 - 16,50,1.51,No,0,Nunca hago ejercicio,No,7 o más,Sí,Sí
2021/03/03 7:57:21 p. m. GMT-6,6° Semestre,Masculino,17 - 18,55,1.76,No,4-5,1h30 - 2h,No,7 o más,Sí,Sí
2021/03/03 8:05:21 p. m. GMT-6,2° Semestre,Masculino,15 - 16,70,1.6,No,1-3,30 min - 1h,No,Entre 3 y 5,No,Sí
2021/03/03 8:17:03 p. m. GMT-6,4° Semestre,Femenino,15 - 16,47,1.66,Sí,1-3,Menos de 30 min,No,Entre 3 y 5,No,Sí
2021/03/03 8:19:20 p. m. GMT-6,2° Semestre,Masculino,15 - 16,84,1.73,No,1-3,1h - 1h30,No,Entre 3 y 5,Sí,Sí
2021/03/03 8:23:14 p. m. GMT-6,2° Semestre,Femenino,15 - 16,54,1.62,No,4-5,Menos de 30 min,No,Entre 3 y 5,Sí,Sí
2021/03/03 8:23:54 p. m. GMT-6,6° Semestre,Femenino,18 o mas,60,1.6,No,0,Nunca hago ejercicio,No,7 o más,Sí,Sí
2021/03/03 8:25:15 p. m. GMT-6,2° Semestre,Masculino,15 - 16,55,1.73,No,1-3,1h30 - 2h,No,7 o más,No,Ocasionalmente lo olvido
2021/03/03 8:27:26 p. m. GMT-6,6° Semestre,Femenino,17 - 18,76,1.53,Sí,1-3,30 min - 1h,No,7 o más,Sí,Sí
2021/03/03 8:39:33 p. m. GMT-6,6° Semestre,Femenino,17 - 18,55,1.55,No,1-3,Menos de 30 min,No,Entre 3 y 5,Sí,Sí
2021/03/03 8:41:07 p. m. GMT-6,4° Semestre,Femenino,15 - 16,45,1.53,No,1-3,Menos de 30 min,No,7 o más,Sí,Sí
